关卡,蓝球,红球,绿球,黄球,紫球,橙球,黑球,白球,总行数,石头,雪块,炸弹,彩虹球,燃烧瓶,蓝分裂球,红分裂球,绿分裂球,黄分裂球,紫分裂球,钥匙,锁定球,收集目标1,收集目标2,发射球数量,通关率
1,29,30,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,B:29,-,12,92.0%
2,23,28,23,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,R:28,-,15,88.0%
3,25,26,31,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,G:31,-,11,84.0%
4,28,23,23,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,B:28,-,10,80.0%
5,21,25,21,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,R:25,-,10,76.0%
6,21,21,25,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,G:25,-,14,72.0%
7,28,23,23,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,B:28,-,10,68.0%
8,26,31,25,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,R:31,-,13,63.0%
9,28,16,15,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,B:28,-,21,58.0%
10,13,25,14,14,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,R:25,-,10,52.0%
11,14,13,25,14,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,G:25,-,10,91.4%
12,15,15,15,28,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,Y:28,-,12,87.4%
13,30,16,17,17,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,B:30,-,12,83.4%
14,15,28,15,15,0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,R:28,-,10,79.4%
15,14,13,25,13,0,0,0,0,9,1,0,1,1,0,0,0,0,0,0,0,0,G:25,-,17,75.4%
16,14,15,14,27,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,Y:27,雪球:5,21,71.4%
17,29,16,16,16,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,B:29,雪球:6,10,67.4%
18,18,32,17,17,0,0,0,0,12,1,6,0,0,0,0,0,0,0,0,0,0,R:32,雪球:6,24,62.4%
19,16,16,29,16,0,0,0,0,11,0,6,1,0,0,0,0,0,0,0,0,0,G:29,雪球:6,16,57.4%
20,19,18,19,34,0,0,0,0,13,1,7,0,1,0,0,0,0,0,0,0,0,Y:34,雪球:7,23,51.4%
21,0,24,16,15,15,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,R:24,雪球:5,17,90.8%
22,0,17,26,17,17,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,G:26,雪球:6,12,86.8%
23,0,18,18,29,19,0,0,0,12,1,6,0,0,0,0,0,0,0,0,0,0,Y:29,雪球:6,24,82.8%
24,0,17,17,17,26,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,P:26,雪球:6,16,78.8%
25,0,31,20,20,20,0,0,0,13,0,7,1,0,0,0,0,0,0,0,0,0,R:31,雪球:7,34,74.8%
